"URL","route type","title","current HTTP status","current indexability","primary decision","destination","GSC indexing evidence","GSC clicks","GSC impressions","GSC CTR %","GSC average position","GSC recent clicks","GSC recent impressions","GSC click-rate trend","GA4 sessions","GA4 avg engagement per session","content overlap evidence","rationale","implementation status"
"https://freeaipromptmaker.com/","homepage","Midjourney v7 Prompt Helper & Flux Pro Prompt Builder","200","indexable","IMPROVE","","NO_SAMPLE_LEVEL_GSC_STATUS","67","11026","0,6","8,9","50","6764","GROWING","38","2 dk. 04 sn.","review","Conservative improve decision preserves the URL while trust, accuracy, uniqueness, and UX remediation is completed.","IMPLEMENTED_DECISION"
"https://freeaipromptmaker.com/about","legal-trust","About Free AI Prompt Maker — Mission, Expertise & Editorial Standards | Free AI Prompt Maker","200","indexable","IMPROVE","","NO_SAMPLE_LEVEL_GSC_STATUS","1","185","0,5","7,3","1","85","NEW_OR_RECENT_GROWTH","","","review","Conservative improve decision preserves the URL while trust, accuracy, uniqueness, and UX remediation is completed.","IMPLEMENTED_DECISION"
"https://freeaipromptmaker.com/blog","guide-index","AI Prompt Blog - Prompt Engineering Guides & Tutorials | Free AI Prompt Maker","200","indexable","IMPROVE","","Discovered - currently not indexed; no last crawl (GSC 2026-07-10)","0","6","0","5","0","6","NO_CLICK_TREND","1","13 dk. 36 sn.","review","Conservative improve decision preserves the URL while trust, accuracy, uniqueness, and UX remediation is completed.","IMPLEMENTED_DECISION"
"https://freeaipromptmaker.com/blog/2025-11-27-midjourney-v6-complete-prompt-guide","guide","Complete Midjourney V6 Prompt Guide: Master Every Parameter | Free AI Prompt Maker","200","indexable","IMPROVE","","NO_SAMPLE_LEVEL_GSC_STATUS","42","133750","0","7,1","32","44728","GROWING","7","33 sn","review","Conservative improve decision preserves the URL while trust, accuracy, uniqueness, and UX remediation is completed.","IMPLEMENTED_NOINDEX_NEEDS_REVIEW"
"https://freeaipromptmaker.com/blog/2025-11-27-stable-diffusion-negative-prompts-guide","guide","Mastering Negative Prompts in Stable Diffusion: The Secret to Flawless AI Art | Free AI Prompt Maker","200","indexable","MERGE","https://freeaipromptmaker.com/blog/2025-11-29-stable-diffusion-negative-prompts-guide","NO_SAMPLE_LEVEL_GSC_STATUS","9","40188","0","6,5","2","6656","DECLINING","","","Near-duplicate intent and introduction with the destination; filtered GSC queries overlap the stable-diffusion negative-prompt topic.","Same stable-diffusion negative-prompt intent. Source has 9 clicks/40,188 impressions versus destination 796/437,580; transfer unique field/best-practice material and preserve query coverage before a one-hop 301.","IMPLEMENTED_PERMANENT_REDIRECT"
"https://freeaipromptmaker.com/blog/2025-11-28-dall-e-3-photorealism-prompt-guide","guide","The Ultimate DALL-E 3 Photorealism Prompt Guide: Lenses, Lighting & Camera Angles | Free AI Prompt Maker","200","indexable","IMPROVE","","NO_SAMPLE_LEVEL_GSC_STATUS","23","15783","0,1","5,5","18","9162","GROWING","1","3 dk. 06 sn.","review","Conservative improve decision preserves the URL while trust, accuracy, uniqueness, and UX remediation is completed.","IMPLEMENTED_NOINDEX_NEEDS_REVIEW"
"https://freeaipromptmaker.com/blog/2025-11-29-guide-consistent-characters-ai-art","guide","The Ultimate Guide to Creating Consistent Characters in AI Art (Midjourney, DALL-E 3, Stable Diffusion) | Free AI Prompt Maker","200","indexable","IMPROVE","","NO_SAMPLE_LEVEL_GSC_STATUS","0","1680","0","13,3","0","844","NO_CLICK_TREND","","","review","Conservative improve decision preserves the URL while trust, accuracy, uniqueness, and UX remediation is completed.","IMPLEMENTED_NOINDEX_NEEDS_REVIEW"
"https://freeaipromptmaker.com/blog/2025-11-29-stable-diffusion-negative-prompts-guide","guide","Stable Diffusion Negative Prompts: The Ultimate Collection | Free AI Prompt Maker","200","indexable","IMPROVE","","NO_SAMPLE_LEVEL_GSC_STATUS","796","437580","0,2","6,2","592","197368","GROWING","22","55 sn","review","Conservative improve decision preserves the URL while trust, accuracy, uniqueness, and UX remediation is completed.","IMPLEMENTED_VERIFIED"
"https://freeaipromptmaker.com/blog/2025-11-30-ai-art-styles-guide","guide","The AI Artist's Stylebook: 50+ Essential Art Styles to Transform Your Prompts | Free AI Prompt Maker","200","indexable","IMPROVE","","NO_SAMPLE_LEVEL_GSC_STATUS","139","19379","0,7","14,5","105","11791","GROWING","6","2 dk. 31 sn.","review","Conservative improve decision preserves the URL while trust, accuracy, uniqueness, and UX remediation is completed.","IMPLEMENTED_NOINDEX_NEEDS_REVIEW"
"https://freeaipromptmaker.com/blog/2025-12-01-ai-art-composition-guide","guide","The Composition Code: How to Control Layout, Framing, and Angles in AI Art | Free AI Prompt Maker","200","indexable","IMPROVE","","Crawled - currently not indexed (GSC 2026-07-10)","1","1699","0,1","6,8","","","DECLINING","","","review","Conservative improve decision preserves the URL while trust, accuracy, uniqueness, and UX remediation is completed.","IMPLEMENTED_NOINDEX_NEEDS_REVIEW"
"https://freeaipromptmaker.com/blog/2025-12-01-dalle-3-prompting-tips-secrets","guide","DALL-E 3 Prompting Secrets: Get Better Results Every Time | Free AI Prompt Maker","200","indexable","IMPROVE","","Crawled - currently not indexed (GSC 2026-07-10)","0","512","0","8,4","","","NO_CLICK_TREND","","","review","Conservative improve decision preserves the URL while trust, accuracy, uniqueness, and UX remediation is completed.","IMPLEMENTED_NOINDEX_NEEDS_REVIEW"
"https://freeaipromptmaker.com/blog/2025-12-02-midjourney-vs-dalle-3-vs-stable-diffusion","guide","Midjourney vs. DALL-E 3 vs. Stable Diffusion: The Ultimate AI Art Generator Showdown | Free AI Prompt Maker","200","indexable","IMPROVE","","Discovered - currently not indexed; no last crawl (GSC 2026-07-10)","","","","","","","NO_GSC_PAGE_DATA","1","3 dk. 57 sn.","review","Conservative improve decision preserves the URL while trust, accuracy, uniqueness, and UX remediation is completed.","IMPLEMENTED_NOINDEX_NEEDS_REVIEW"
