"source","report","date range","dimension","item","clicks","impressions","CTR","average position","users","sessions","engagement metric","indexing status","AdSense status","interpretation","confidence","resulting decision"
"Search Console","Search results","2025-11-26 to 2026-07-14","Property","freeaipromptmaker.com","1940","970118","0.2%","6.8","","","","","","Meaningful visibility with exceptionally low aggregate CTR; do not make bulk title or URL changes without page/query evidence.","high","Preserve equity and improve established URLs"
"Search Console","Search results","2026-04-15 to 2026-07-14","Property","freeaipromptmaker.com","1554","487332","0.3%","7.4","","","","","","Most long-range clicks occurred recently; traffic is growing despite weak aggregate CTR.","high","Avoid broad removals"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2025-11-29-stable-diffusion-negative-prompts-guide","796","437580","0,2%","6,2","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2025-11-30-ai-art-styles-guide","139","19379","0,7%","14,5","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-01-04-stable-diffusion-regional-prompting-guide","122","38089","0,3%","6,2","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-02-16-master-ai-art-lenses-prompts-guide","115","9187","1,3%","7,8","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-02-24-master-ai-art-weather-time-prompts","107","5829","1,8%","6,4","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-01-25-stable-diffusion-wildcards-guide","81","23038","0,4%","7,1","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/","67","11026","0,6%","8,9","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-02-23-master-ai-art-emotion-prompts","53","6218","0,9%","6,5","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
